subject,excluded,img,EmoRating,emotionality,attn,study,bad_trial,IA_name
108,1,6821ps.jpg,,emo,BG,study2,0,6821ps.ias
108,1,H025ps.jpg,,emo,FG,study2,0,H025ps.ias
108,1,CompNeu046.jpg,,neu,FG,study2,0,CompNeu046.ias
108,1,H037ps.jpg,,emo,BG,study2,0,H037ps.ias
108,1,CompNeu019.jpg,,neu,FG,study2,0,CompNeu019.ias
108,1,2730ps.jpg,,emo,FG,study2,0,2730ps.ias
108,1,CompNeu029.jpg,,neu,BG,study2,0,CompNeu029.ias
108,1,H084ps.jpg,,emo,BG,study2,0,H084ps.ias
108,1,Objects_003ps.jpg,,emo,FG,study2,0,Objects_003ps.ias
108,1,Faces_147ps.jpg,,emo,BG,study2,0,Faces_147ps.ias
108,1,CompNeu058.jpg,,neu,BG,study2,0,CompNeu058.ias
108,1,CompNeu012.jpg,,neu,FG,study2,0,CompNeu012.ias
108,1,H041ps.jpg,,emo,FG,study2,0,H041ps.ias
108,1,230ps.jpg,,emo,BG,study2,0,230ps.ias
108,1,CompNeu034.jpg,,neu,BG,study2,0,CompNeu034.ias
108,1,People_070ps.jpg,,emo,FG,study2,0,People_070ps.ias
108,1,H036ps.jpg,,emo,BG,study2,0,H036ps.ias
108,1,2095ps.jpg,,emo,FG,study2,0,2095ps.ias
108,1,3500ps.jpg,,emo,BG,study2,0,3500ps.ias
108,1,CompNeu020.jpg,,neu,FG,study2,0,CompNeu020.ias
108,1,2710ps.jpg,,emo,FG,study2,0,2710ps.ias
108,1,3225ps.jpg,,emo,BG,study2,0,3225ps.ias
108,1,CompNeu014.jpg,,neu,BG,study2,0,CompNeu014.ias
108,1,3530ps.jpg,,emo,FG,study2,0,3530ps.ias
108,1,CompNeu001.jpg,,neu,BG,study2,0,CompNeu001.ias
108,1,2750ps.jpg,,emo,BG,study2,0,2750ps.ias
108,1,215ps.jpg,,emo,FG,study2,0,215ps.ias
108,1,CompNeu056.jpg,,neu,FG,study2,0,CompNeu056.ias
108,1,6243ps.jpg,,emo,BG,study2,0,6243ps.ias
108,1,1201ps.jpg,,emo,BG,study2,0,1201ps.ias
108,1,CompNeu042.jpg,,neu,FG,study2,0,CompNeu042.ias
108,1,3550ps.jpg,,emo,BG,study2,0,3550ps.ias
108,1,MAPS338ps.jpg,,emo,FG,study2,0,MAPS338ps.ias
108,1,H038ps.jpg,,emo,FG,study2,0,H038ps.ias
108,1,H053ps.jpg,,emo,BG,study2,0,H053ps.ias
108,1,Faces_011ps.jpg,,emo,FG,study2,0,Faces_011ps.ias
108,1,3230ps.jpg,,emo,FG,study2,0,3230ps.ias
108,1,CompNeu057.jpg,,neu,FG,study2,0,CompNeu057.ias
108,1,Faces_025ps.jpg,,emo,FG,study2,0,Faces_025ps.ias
108,1,CompNeu038.jpg,,neu,FG,study2,0,CompNeu038.ias
108,1,9254ps.jpg,,emo,FG,study2,0,9254ps.ias
108,1,H083ps.jpg,,emo,BG,study2,0,H083ps.ias
108,1,6313ps.jpg,,emo,BG,study2,0,6313ps.ias
108,1,CompNeu007.jpg,,neu,BG,study2,0,CompNeu007.ias
108,1,1275ps.jpg,,emo,FG,study2,0,1275ps.ias
108,1,CompNeu045.jpg,,neu,BG,study2,0,CompNeu045.ias
108,1,H122ps.jpg,,emo,BG,study2,0,H122ps.ias
108,1,CompNeu017.jpg,,neu,FG,study2,0,CompNeu017.ias
108,1,6836ps.jpg,,emo,BG,study2,0,6836ps.ias
108,1,214ps.jpg,,emo,FG,study2,0,214ps.ias
108,1,CompNeu026.jpg,,neu,BG,study2,0,CompNeu026.ias
108,1,9428ps.jpg,,emo,FG,study2,0,9428ps.ias
108,1,2691ps.jpg,,emo,BG,study2,0,2691ps.ias
108,1,2700ps.jpg,,emo,FG,study2,0,2700ps.ias
108,1,CompNeu050.jpg,,neu,FG,study2,0,CompNeu050.ias
108,1,Faces_149ps.jpg,,emo,BG,study2,0,Faces_149ps.ias
108,1,H059ps.jpg,,emo,BG,study2,0,H059ps.ias
108,1,CompNeu031.jpg,,neu,FG,study2,0,CompNeu031.ias
108,1,3101ps.jpg,,emo,BG,study2,0,3101ps.ias
108,1,8230ps.jpg,,emo,FG,study2,0,8230ps.ias
108,1,9415ps.jpg,,emo,FG,study2,0,9415ps.ias
108,1,CompNeu060.jpg,,neu,BG,study2,0,CompNeu060.ias
108,1,6415ps.jpg,,emo,BG,study2,0,6415ps.ias
108,1,CompNeu004.jpg,,neu,FG,study2,0,CompNeu004.ias
108,1,3015ps.jpg,,emo,BG,study2,0,3015ps.ias
108,1,1200ps.jpg,,emo,BG,study2,0,1200ps.ias
108,1,2981ps.jpg,,emo,FG,study2,0,2981ps.ias
108,1,H034ps.jpg,,emo,FG,study2,0,H034ps.ias
108,1,CompNeu054.jpg,,neu,BG,study2,0,CompNeu054.ias
109,0,CompNeu002.jpg,1,neu,BG,study2,0,CompNeu002.ias
109,0,2717ps.jpg,3,emo,FG,study2,0,2717ps.ias
109,0,9425ps.jpg,3,emo,BG,study2,0,9425ps.ias
109,0,CompNeu041.jpg,1,neu,BG,study2,0,CompNeu041.ias
109,0,6555ps.jpg,4,emo,FG,study2,0,6555ps.ias
109,0,H015ps.jpg,1,emo,FG,study2,0,H015ps.ias
109,0,CompNeu040.jpg,1,neu,FG,study2,0,CompNeu040.ias
109,0,H099ps.jpg,2,emo,BG,study2,0,H099ps.ias
109,0,3181ps.jpg,4,emo,FG,study2,0,3181ps.ias
109,0,CompNeu024.jpg,1,neu,BG,study2,0,CompNeu024.ias
109,0,CompNeu030.jpg,1,neu,FG,study2,0,CompNeu030.ias
109,0,H064ps.jpg,3,emo,BG,study2,0,H064ps.ias
109,0,2375ps.jpg,1,emo,BG,study2,0,2375ps.ias
109,0,6315ps.jpg,3,emo,FG,study2,0,6315ps.ias
109,0,CompNeu006.jpg,1,neu,FG,study2,0,CompNeu006.ias
109,0,Faces_172ps.jpg,,emo,BG,study2,0,Faces_172ps.ias
109,0,H087ps.jpg,2,emo,FG,study2,0,H087ps.ias
109,0,CompNeu013.jpg,1,neu,BG,study2,0,CompNeu013.ias
109,0,2718ps.jpg,3,emo,BG,study2,0,2718ps.ias
109,0,7361ps.jpg,5,emo,FG,study2,0,7361ps.ias
109,0,CompNeu011.jpg,1,neu,BG,study2,0,CompNeu011.ias
109,0,6821ps.jpg,2,emo,BG,study2,0,6821ps.ias
109,0,H025ps.jpg,3,emo,FG,study2,0,H025ps.ias
109,0,CompNeu046.jpg,1,neu,FG,study2,0,CompNeu046.ias
109,0,H037ps.jpg,1,emo,BG,study2,0,H037ps.ias
109,0,CompNeu019.jpg,1,neu,FG,study2,0,CompNeu019.ias
109,0,2730ps.jpg,4,emo,FG,study2,0,2730ps.ias
109,0,CompNeu029.jpg,1,neu,BG,study2,0,CompNeu029.ias
109,0,H084ps.jpg,1,emo,BG,study2,0,H084ps.ias
109,0,Objects_003ps.jpg,3,emo,FG,study2,0,Objects_003ps.ias
